Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-1.3541E-08,7.6429E-05,-0.07509,0,0,0,7.5204,0.053228,7.434E-09,-8.7486E-09,0.039254,4.9379E-05,0.064238,0,0,0,0,0,0,package://amr/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://amr/meshes/base_link.STL,,base-2,base_cs,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_wheel,0,6.96891506366728E-18,1.38777878078145E-17,0,0,0,1.5707963267949,0.00785398163397449,2.17841412575483E-20,-2.51534461981641E-17,0.00425424005173618,1.46819044190745E-19,0.00425424005173618,0,0,0,0,0,0,package://amr/meshes/left_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://amr/meshes/left_wheel.STL,,wheel-1,left_wheel_cs,left_wheel_axis,left_wheel_joint,continuous,0.13,0,-0.075,0,0,0,base_link,1,0,0,,,,,,,,,,,,
right_wheel,0,-9.86076131526265E-32,-1.38777878078145E-17,0,0,0,1.5707963267949,0.00785398163397449,2.63321027734168E-31,-2.51228010873032E-17,0.00425424005173618,-1.7483503074386E-45,0.00425424005173618,0,0,0,0,0,0,package://amr/meshes/right_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://amr/meshes/right_wheel.STL,,wheel-2,right_wheeL-cs,right_wheel_axis,right_wheel_joint,continuous,-0.13,0,-0.075,0,0,0,base_link,1,0,0,,,,,,,,,,,,
scan_link,1.51788304147971E-18,0,-2.77555756156289E-17,0,0,0,0.392699081698724,0.000327249234748937,-1.41172157875729E-21,1.13050365080001E-18,0.000327249234748937,-1.74726075395009E-18,0.000490873852123405,0,0,0,0,0,0,package://amr/meshes/scan_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://amr/meshes/scan_link.STL,,lidar-1,lidar_cs,lidar_axis,scan_joint,continuous,-0.00055325,-0.075003,0.025,0,0,0,base_link,0,0,1,,,,,,,,,,,,
camera_link,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://amr/meshes/camera_link.STL,1,1,1,1,0,0,0,0,0,0,package://amr/meshes/camera_link.STL,,camera-1,camera_cs,Axis4,camera_joint,fixed,-0.00250000000000108,-0.175,-0.0375000000000026,0,0,0,base_link,0,0,0,,,,,,,,,,,,
